,NAME,Population,stateNo,countyNo,County,Year
245,"Inyo County, California",18482.0,06,027,Inyo,2013
246,"Kern County, California",848204.0,06,029,Kern,2013
247,"Kings County, California",151806.0,06,031,Kings,2013
248,"Lake County, California",64260.0,06,033,Lake,2013
249,"Lassen County, California",34018.0,06,035,Lassen,2013
250,"Los Angeles County, California",9893481.0,06,037,Los Angeles,2013
251,"Madera County, California",151435.0,06,039,Madera,2013
252,"Marin County, California",254643.0,06,041,Marin,2013
253,"Mariposa County, California",18061.0,06,043,Mariposa,2013
254,"Mendocino County, California",87497.0,06,045,Mendocino,2013
255,"Merced County, California",258707.0,06,047,Merced,2013
256,"Modoc County, California",9468.0,06,049,Modoc,2013
257,"Mono County, California",14217.0,06,051,Mono,2013
258,"Monterey County, California",420569.0,06,053,Monterey,2013
259,"Napa County, California",137837.0,06,055,Napa,2013
260,"Nevada County, California",98509.0,06,057,Nevada,2013
261,"Orange County, California",3051771.0,06,059,Orange,2013
262,"Placer County, California",355924.0,06,061,Placer,2013
263,"Plumas County, California",19586.0,06,063,Plumas,2013
264,"Riverside County, California",2228528.0,06,065,Riverside,2013
265,"Sacramento County, California",1435207.0,06,067,Sacramento,2013
266,"San Benito County, California",56115.0,06,069,San Benito,2013
267,"San Bernardino County, California",2056915.0,06,071,San Bernardino,2013
268,"San Diego County, California",3138265.0,06,073,San Diego,2013
269,"San Francisco County, California",817501.0,06,075,San Francisco,2013
270,"San Joaquin County, California",693177.0,06,077,San Joaquin,2013
271,"San Luis Obispo County, California",272094.0,06,079,San Luis Obispo,2013
272,"San Mateo County, California",729543.0,06,081,San Mateo,2013
273,"Santa Barbara County, California",427288.0,06,083,Santa Barbara,2013
274,"Santa Clara County, California",1812208.0,06,085,Santa Clara,2013
275,"Santa Cruz County, California",264808.0,06,087,Santa Cruz,2013
276,"Shasta County, California",177966.0,06,089,Shasta,2013
277,"Sierra County, California",3127.0,06,091,Sierra,2013
278,"Siskiyou County, California",44503.0,06,093,Siskiyou,2013
279,"Solano County, California",417258.0,06,095,Solano,2013
280,"Sonoma County, California",487469.0,06,097,Sonoma,2013
281,"Stanislaus County, California",518321.0,06,099,Stanislaus,2013
282,"Sutter County, California",94787.0,06,101,Sutter,2013
283,"Tehama County, California",63241.0,06,103,Tehama,2013
284,"Trinity County, California",13638.0,06,105,Trinity,2013
285,"Tulare County, California",446644.0,06,107,Tulare,2013
286,"Tuolumne County, California",54728.0,06,109,Tuolumne,2013
287,"Ventura County, California",829017.0,06,111,Ventura,2013
288,"Yolo County, California",202288.0,06,113,Yolo,2013
289,"Yuba County, California",72574.0,06,115,Yuba,2013
290,"Los Angeles County, California",9974203.0,06,037,Los Angeles,2014
291,"Madera County, California",152452.0,06,039,Madera,2014
292,"Marin County, California",256802.0,06,041,Marin,2014
293,"Mariposa County, California",17946.0,06,043,Mariposa,2014
294,"Mendocino County, California",87612.0,06,045,Mendocino,2014
295,"Merced County, California",261609.0,06,047,Merced,2014
296,"Modoc County, California",9335.0,06,049,Modoc,2014
297,"Mono County, California",14193.0,06,051,Mono,2014
298,"Monterey County, California",424927.0,06,053,Monterey,2014
299,"Napa County, California",139253.0,06,055,Napa,2014
300,"Nevada County, California",98606.0,06,057,Nevada,2014
301,"Orange County, California",3086331.0,06,059,Orange,2014
302,"Placer County, California",361518.0,06,061,Placer,2014
303,"Plumas County, California",19286.0,06,063,Plumas,2014
304,"Riverside County, California",2266899.0,06,065,Riverside,2014
305,"Sacramento County, California",1450277.0,06,067,Sacramento,2014
306,"San Benito County, California",56888.0,06,069,San Benito,2014
307,"San Bernardino County, California",2078586.0,06,071,San Bernardino,2014
308,"San Diego County, California",3183143.0,06,073,San Diego,2014
309,"San Francisco County, California",829072.0,06,075,San Francisco,2014
310,"San Joaquin County, California",701050.0,06,077,San Joaquin,2014
311,"San Luis Obispo County, California",274184.0,06,079,San Luis Obispo,2014
312,"San Mateo County, California",739837.0,06,081,San Mateo,2014
313,"Santa Barbara County, California",431555.0,06,083,Santa Barbara,2014
314,"Santa Clara County, California",1841569.0,06,085,Santa Clara,2014
315,"Santa Cruz County, California",267203.0,06,087,Santa Cruz,2014
316,"Shasta County, California",178520.0,06,089,Shasta,2014
317,"Sierra County, California",3019.0,06,091,Sierra,2014
318,"Siskiyou County, California",44261.0,06,093,Siskiyou,2014
319,"Solano County, California",421624.0,06,095,Solano,2014
320,"Sonoma County, California",491790.0,06,097,Sonoma,2014
321,"Stanislaus County, California",522794.0,06,099,Stanislaus,2014
322,"Sutter County, California",95067.0,06,101,Sutter,2014
323,"Tehama County, California",63284.0,06,103,Tehama,2014
324,"Trinity County, California",13515.0,06,105,Trinity,2014
325,"Tulare County, California",451108.0,06,107,Tulare,2014
326,"Tuolumne County, California",54347.0,06,109,Tuolumne,2014
327,"Ventura County, California",835790.0,06,111,Ventura,2014
328,"Yolo County, California",204162.0,06,113,Yolo,2014
